,Laser Power [W],Scan Speed [mm/s],Layer Thickness [Microm.],Hatch Distance [mm],Laser Energy Density E [J/mm^3],Relative Density [%]
862,375.0,1350.0,60.0,0.12,0.038580246913580245,99.0
863,375.0,1000.0,60.0,0.16,0.0390625,98.9
864,375.0,1100.0,90.0,0.08,0.04734848484848485,98.6
865,375.0,1850.0,60.0,0.08,0.04222972972972973,98.7
866,375.0,1100.0,60.0,0.12,0.04734848484848485,98.7
867,375.0,1050.0,90.0,0.12,0.03306878306878307,98.9
868,375.0,1225.0,90.0,0.12,0.02834467120181406,98.6
869,375.0,950.0,120.0,0.1,0.03289473684210526,98.6
870,375.0,1200.0,120.0,0.08,0.032552083333333336,98.6
871,375.0,1025.0,90.0,0.14,0.029036004645760744,98.3
872,375.0,1600.0,60.0,0.12,0.032552083333333336,98.6
873,375.0,950.0,60.0,0.14,0.046992481203007516,98.5
874,375.0,1450.0,90.0,0.1,0.028735632183908046,98.4
875,375.0,875.0,90.0,0.14,0.03401360544217687,98.5
876,375.0,1175.0,60.0,0.16,0.03324468085106383,98.4
877,375.0,2075.0,60.0,0.08,0.03765060240963856,98.4
878,375.0,1325.0,60.0,0.1,0.04716981132075472,98.0
879,375.0,1250.0,90.0,0.1,0.03333333333333333,98.6
880,375.0,1375.0,90.0,0.12,0.025252525252525252,98.2
881,375.0,1175.0,90.0,0.14,0.02532928064842958,98.1
882,375.0,1875.0,60.0,0.1,0.03333333333333333,98.3
883,375.0,1325.0,60.0,0.14,0.03369272237196765,98.4
884,375.0,875.0,90.0,0.1,0.047619047619047616,97.6
885,375.0,900.0,90.0,0.16,0.028935185185185185,97.5
886,375.0,1025.0,90.0,0.16,0.02540650406504065,96.1
887,375.0,1025.0,120.0,0.12,0.02540650406504065,97.8
888,375.0,825.0,60.0,0.16,0.04734848484848485,98.1
889,375.0,1350.0,90.0,0.08,0.038580246913580245,97.8
890,375.0,1100.0,120.0,0.1,0.028409090909090908,98.0
891,375.0,900.0,120.0,0.12,0.028935185185185185,97.9
892,375.0,825.0,120.0,0.08,0.04734848484848485,97.1
893,375.0,1250.0,120.0,0.1,0.025,97.2
894,375.0,775.0,120.0,0.16,0.025201612903225805,97.5
895,375.0,875.0,90.0,0.12,0.03968253968253968,96.6
896,375.0,1375.0,120.0,0.08,0.028409090909090908,97.8
897,375.0,1825.0,60.0,0.12,0.028538812785388126,98.0
898,375.0,1650.0,90.0,0.1,0.025252525252525252,97.7
899,375.0,1850.0,90.0,0.08,0.028153153153153154,97.6
900,375.0,2300.0,60.0,0.08,0.033967391304347824,97.8
901,375.0,1550.0,60.0,0.14,0.028801843317972347,97.9
902,375.0,1775.0,60.0,0.14,0.02515090543259557,97.6
903,375.0,1575.0,90.0,0.08,0.03306878306878307,97.7
904,375.0,875.0,120.0,0.14,0.02551020408163265,96.1
905,375.0,825.0,120.0,0.1,0.03787878787878788,97.0
