,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
23,0.08482036590576172,0.007468854988365036,0.0014002323150634766,0.0008002559296520775,identity,1e-05,"(100, 100)",lbfgs,"{'activation': 'identity', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-2.889208380171525,-4.419318532583429,-2.0980119992460984,-4.354924206850095,-10.768390659773319,-4.905970755724893,3.061385721343592,60
29,0.08162131309509277,0.008957515931627875,0.0008382797241210938,0.0004266255152636951,identity,0.0001,"(100, 100)",lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-2.8892092868777732,-4.419320372107599,-2.0980133911860386,-4.354921400865008,-10.768389800190898,-4.905970850245463,3.061385059857005,61
19,0.011803722381591797,0.0017210944072613983,0.0008009433746337891,0.000400481747270789,identity,1e-05,"(30,)",lbfgs,"{'activation': 'identity', 'alpha': 1e-05, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-2.8892002051430175,-4.419331388088171,-2.098012801024287,-4.354918447334707,-10.76839210649409,-4.905970989616855,3.0613870040793936,62
34,0.01960439682006836,0.003202030284822006,0.0010002613067626952,1.0070186654063642e-06,identity,0.001,"(30, 30)",lbfgs,"{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-2.88920310501069,-4.419307674163132,-2.098033302817718,-4.354929417456579,-10.768382667169888,-4.905971233323601,3.0613796049262776,63
21,0.021407604217529297,0.005987239438000096,0.0005997180938720703,0.0004896714956338544,identity,1e-05,"(10, 10)",lbfgs,"{'activation': 'identity', 'alpha': 1e-05, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-2.889212770312825,-4.419318647592127,-2.098026499320962,-4.354918732702481,-10.768390693217208,-4.905973468629121,3.061382689200843,64
12,0.011603784561157227,0.0018559221812917213,0.0005995750427246094,0.0004895552066439089,relu,0.001,"(10,)",lbfgs,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-2.889221503713343,-4.419324418086384,-2.0980170456833602,-4.354922624114575,-10.768383620694834,-4.905973842458499,3.061380240474247,65
24,0.00980238914489746,0.0019387115993835897,0.0006001949310302735,0.0004900609677768926,identity,0.0001,"(10,)",lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-2.8892099110158425,-4.4193162084738145,-2.098024377665297,-4.354931974778516,-10.768389306580861,-4.905974355702866,3.0613825248940056,66
27,0.016804599761962892,0.0011671448219117027,0.0008006095886230469,0.00040030702371073046,identity,0.0001,"(10, 10)",lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-2.8892100801211207,-4.419318820273919,-2.0980336997985245,-4.354919794540534,-10.768390134260438,-4.905974505798907,3.061381464978364,67
35,0.47031168937683104,0.49219620111621676,0.0009961605072021484,7.31506122864397e-06,identity,0.001,"(100, 100)",lbfgs,"{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-2.8892187724545004,-4.419337443299036,-2.09802738879713,-4.35496366500663,-10.768347571296994,-4.905978968170858,3.061363004810214,68
31,0.09762010574340821,0.1013604716737399,0.0008012771606445313,0.00040063906272090936,identity,0.001,"(30,)",lbfgs,"{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-2.889202326516442,-4.419319206533166,-2.0980058531661125,-4.354962393546361,-10.768410835975173,-4.905980123147451,3.0613939776076324,69
15,0.10942540168762208,0.15538088485632365,0.0006006240844726562,0.000490409280959758,relu,0.001,"(10, 10)",lbfgs,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-2.889204493821492,-4.419321112210739,-2.0981243995793264,-4.35495892862279,-10.768372965136006,-4.905996379874071,3.0613575056055087,70
33,0.017002153396606445,0.0033494753151664383,0.0006001472473144531,0.000490018461625284,identity,0.001,"(10, 10)",lbfgs,"{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-2.889251118478579,-4.419321093312629,-2.0981033277725323,-4.354935731545534,-10.768384532813844,-4.905999160784623,3.061360493956147,71
2,0.08401880264282227,0.01665310099144389,0.0005998611450195312,0.0004897855101401562,relu,1e-05,"(100,)",lbfgs,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-2.823415852961413,-4.033660284546139,-2.6263977370876397,-4.495311506411112,-10.552958842654636,-4.906348844732188,2.910378957684658,72
