Build iteration,Sample build nr.,Maschine,Projekt Name,Laser P [W],Scan [mm/s],Layer thickness [Mikrom.],Hatch distance [mm],Building temperature (deg.C),sample type,support type,tensile direction,Pattern,Kontur Laser P [W],Kontur Scan [mm/s],Stripe Overlap,Contour offset,Spotsize,Streifenbreite,Streifenversch.,Drehwinkel,Abstand zur OK,Kontur Spotsize,Kontur Abstand zur OK,Heat treatment,Yield [Mpa]P pO2,UTS [Mpa]R m,Elongation (%)A,Surface roughness [Ra],OF-optisch,Porositaet Flaeche Bionic polished,Porositaet Flaeche repolished IAPT,Porositaet Kontur,Aufbaurate,VED,Relative density (Archimedis),Relative density,Pulver,Powderbatch,Powder state,Spalte1,Si,Spalte2,Fe,Spalte3,Cu,Spalte4,Mn,Spalte5,Mg,Spalte6,Be,Spalte7,Zn,Spalte8,Ti,D10,D50,D90,Carney Funnel (s/50g),Schuttdichte,Klopfdichte,Bulid finish status,trial category,Date
1,29,Aconity,Alaf parameter development,260,200,30,0.09,,Tensile bars ,,,,,,,,,,,,,,,,,313,11.5,,,,,,1.944,481.4814815,,,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,30,Aconity,Alaf parameter development,260,200,30,0.09,,Tensile bars ,,,,,,,,,,,,,,,,,311,12,,,,,,1.944,481.4814815,,,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,31,Aconity,Alaf parameter development,200,220,30,0.07,,Tensile bars ,,,,,,,,,,,,,,,,,312,11,,,,,,1.6632,432.9004329,,,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,32,Aconity,Alaf parameter development,200,220,30,0.07,,Tensile bars ,,,,,,,,,,,,,,,,,319,14,,,,,,1.6632,432.9004329,,,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,33,Aconity,Alaf parameter development,200,220,30,0.07,,Tensile bars ,,,,,,,,,,,,,,,,,320,11.8,,,,,,1.6632,432.9004329,,,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,34,Aconity,Alaf parameter development,200,220,30,0.07,,Tensile bars ,,,,,,,,,,,,,,,,,305,9.5,,,,,,1.6632,432.9004329,,,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,35,Aconity,Alaf parameter development,200,220,30,0.07,,Tensile bars ,,,,,,,,,,,,,,,,,292,9,,,,,,1.6632,432.9004329,,,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,36,Aconity,Alaf parameter development,160,200,30,0.07,,Tensile bars ,,,,,,,,,,,,,,,,,330,14,,,,,,1.512,380.952381,,,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,37,Aconity,Alaf parameter development,160,200,30,0.07,,Tensile bars ,,,,,,,,,,,,,,,,,338,12,,,,,,1.512,380.952381,,,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,38,Aconity,Alaf parameter development,160,200,30,0.07,,Tensile bars ,,,,,,,,,,,,,,,,,355,19.7,,,,,,1.512,380.952381,,,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,39,Aconity,Alaf parameter development,160,200,30,0.07,,Tensile bars ,,,,,,,,,,,,,,,,,347,18,,,,,,1.512,380.952381,,,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
