Quelle,Probennummer,Legierung,Prozessumfeld/-parameter,,,Scanstrategie,,,,,,,,,,,,,Pulvereigenschaften,,,,,,,,Bauteil QualitÑtskriterien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sonstiges,,
,,,Prozessparameter,,,Scanstrategie,,,,,,,,,Konturparameter,,,,Particle Size Distribution,,,,,,Pulverchemie,,Mechanische Eigenschaften,,,,,,,PorositÑt [%],,,Rauhigkeit,,,,Bauteilchemie,,,,,,,,,,,,,,Schmelzpool,,,,,
,,,Anlage,"Laserprofil [Gauss, Donut, etc.]",Laserdurchmesser [Êm],Laserleistung [W],Scan Speed [mm/s],HatchlÑnge [mm],Hatch distance [mm],Layerthickness [Êm],Pfadstrategie,LED [J/mm],ED [J/mm¸],Fokuslage [mm],Konturversatz [mm],FÅllschraffurversatz [mm],Konturscanspeed [mm/s],Konturleistung [W],Hersteller,Sonstiges,Particle size Distribution [Êm],d10 [Êm],d50 [Êm],d90 [Êm],Al [wt.%],Si [wt.%],E-Modul [MPa],Streckgrenze [MPa],Zugfestigkeit [MPa],Dehnung [%],HÑrte ,,Dichte [%],PorositÑt (Messung oben links)[%],PorositÑt (Messung unten rechts) [%],PorositÑt gesamt [%],Rautiefe 45¯ oben,Rautiefe 45¯ unten,Rautiefe 90¯,OberflÑchenrauhigkeit [Êm],Al [wt.%],Si [wt.%],Ni [wt.%],Fe [wt.%],Cu [wt.%],Mn [wt.%],Mg [wt.%],Ti [wt.%],Zn [wt.%],C [wt.%],Zr [wt.%],Mo [wt.%],Sn [wt.%],O [wt.%],x [Êm],y [Êm],z [Êm],Schutzgas,Heat treatment,Kommentare
1,25,AlSi10Mg,AconityLAB,Gauss defocused,140,500,1000,1.3,0.2,50,Unidirectional,0.5,50,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,26,AlSi10Mg,AconityLAB,Gauss defocused,140,500,1500,1.3,0.2,50,Unidirectional,0.333333333,33.33333333,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,27,AlSi10Mg,AconityLAB,Gauss defocused,140,500,2000,1.3,0.2,50,Unidirectional,0.25,25,,,,,,,,,,,,,,,,,,,,96.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,28,AlSi10Mg,AconityLAB,Gauss defocused,140,600,1000,1.3,0.1,50,Unidirectional,0.6,120,,,,,,,,,,,,,,,,,,,,99.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,29,AlSi10Mg,AconityLAB,Gauss defocused,140,600,1500,1.3,0.1,50,Unidirectional,0.4,80,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,30,AlSi10Mg,AconityLAB,Gauss defocused,140,600,2000,1.3,0.1,50,Unidirectional,0.3,60,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,31,AlSi10Mg,AconityLAB,Gauss defocused,140,700,1000,1.3,0.1,50,Unidirectional,0.7,140,,,,,,,,,,,,,,,,,,,,97.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,32,AlSi10Mg,AconityLAB,Gauss defocused,140,700,1500,1.3,0.1,50,Unidirectional,0.466666667,93.33333333,,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,33,AlSi10Mg,AconityLAB,Gauss defocused,140,700,2000,1.3,0.1,50,Unidirectional,0.35,70,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,34,AlSi10Mg,AconityLAB,Gauss defocused,140,800,1000,1.3,0.1,50,Unidirectional,0.8,160,,,,,,,,,,,,,,,,,,,,97.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,35,AlSi10Mg,AconityLAB,Gauss defocused,140,800,1500,1.3,0.1,50,Unidirectional,0.533333333,106.6666667,,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,36,AlSi10Mg,AconityLAB,Gauss defocused,140,800,2000,1.3,0.1,50,Unidirectional,0.4,80,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,37,AlSi10Mg,AconityLAB,Gauss defocused,140,600,1000,1.3,0.15,50,Unidirectional,0.6,80,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,38,AlSi10Mg,AconityLAB,Gauss defocused,140,600,1500,1.3,0.15,50,Unidirectional,0.4,53.33333333,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,39,AlSi10Mg,AconityLAB,Gauss defocused,140,600,2000,1.3,0.15,50,Unidirectional,0.3,40,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
