,Randomstate,RMSE,MAPE,MSE,Training RMSE
41,42,1.075244227580528,0.004294911697303499,1.1561501489452464,1.464935103136217
42,43,2.367271200460393,0.012342095578013506,5.603972936529189,0.9242561986292938
43,44,0.5919505696147824,0.0033330464470673737,0.35040547686726536,1.4922217118934427
44,45,0.43952440153283623,0.0029559638330371144,0.19318169954279785,1.8300771712229842
45,46,0.8012714080070583,0.005310215684475404,0.6420358692896136,1.5934179065873686
46,47,0.3628480597337089,0.0022312830157865424,0.1316587144525172,0.9093772319121461
47,48,1.8667805668217714,0.009998383958463376,3.484869684663414,2.931334727926651
48,49,6.835899530882788,0.038099562249056244,46.72952239632352,0.740173047003122
49,50,1.8724384445037925,0.009184911698034759,3.5060257284557816,1.6157953740369124
50,51,1.8144083359687804,0.011243807170974734,3.2920776096329987,1.3530294994297232
51,52,0.8803909054092596,0.003689125155997401,0.7750881463273359,1.6924919032747578
52,53,0.9749909227664647,0.006291553582521809,0.9506072994770023,1.4851997643534431
53,54,0.3744519631334977,0.0026219993939246683,0.14021427269453032,1.9502644158373008
54,55,0.4615744308409805,0.0028084775774547804,0.2130509552061751,1.3135983704930112
55,56,6.314782415368105,0.03102026535997593,39.87647695344224,0.9586070683359434
56,57,1.5807563675778693,0.010296473992413131,2.4987906936379796,0.8257652929731469
57,58,2.398794926505922,0.013586472922755593,5.7542170994305515,1.3687358050066674
58,59,1.070533188535043,0.006373024112756714,1.1460413077550062,1.5477945053154958
59,60,0.8505652392004782,0.00464953705471061,0.7234612261361668,1.647152948223188
60,61,5.686530752550317,0.03154748800982239,32.336631999700465,0.9526469576063926
61,62,0.44349234775743707,0.0032788103523726177,0.1966854625194035,1.5602703142999204
62,63,0.9682924818068805,0.005345745025791622,0.9375903303237281,0.7271185546978765
63,64,3.3371890749756163,0.021875641209723826,11.13683092213661,1.2339047769807419
64,65,4.2484803333666585,0.027615328284407225,18.049585143003274,0.9699992785215402
65,66,2.386475005200635,0.009907047092941679,5.695262950447371,1.4584452573624591
66,67,0.7938654427515478,0.00414210062428546,0.630222341195111,1.3871555339784356
67,68,0.3612875652805752,0.0022084797082909963,0.1305287048263659,1.437439176901092
68,69,13.09106483605007,0.050154322296745685,171.37597854166663,1.6199681218272843
69,70,0.44677612122825894,0.002951211936993688,0.19960890249976793,1.0129596757951087
70,71,3.8366446264016694,0.022397097085188025,14.719841989296805,1.2481517259344497
71,72,2.8915461135866503,0.015517183551314156,8.361038926998061,0.9329057712570265
72,73,2.627898376051286,0.013648053786079967,6.905849874852987,1.0843484588150871
73,74,5.621120864802008,0.03134520148438976,31.59699977671248,0.6471721011456782
74,75,0.6688794796494375,0.0046069029349836196,0.4473997582961023,1.7682961408554878
75,76,0.44901131012852136,0.003055817267534625,0.2016111566233312,1.971917323291088
76,77,1.0517809359014627,0.0046439600659364585,1.1062431371257568,1.8043092965857273
77,78,1.6450815386909952,0.010908998796802707,2.7062932689419323,1.799483199206343
78,79,0.2509951034094311,0.001335280865356985,0.06299854193551101,1.8303082872550482
79,80,1.0050582587504815,0.005708043440585491,1.0101421034825497,1.1943598190106144
80,81,0.47089655204426517,0.0027364870528748713,0.22174356272717735,1.4041878092336257
81,82,6.8473066061673915,0.042527035402256254,46.8856077588636,0.7431995369664532
82,83,0.7574677500165413,0.005537757506713062,0.5737573923151215,1.603067860069236
83,84,0.4993339627429693,0.0033473937486067705,0.24933440634859708,1.3358064738009574
84,85,5.278968519065352,0.027521559749891334,27.86750862528304,0.8550059168493813
85,86,0.15375846359234455,0.0008747256514464428,0.02364166512627834,1.239982069536175
86,87,0.9884856465332968,0.006817480594518299,0.9771038734023499,1.5786366556649196
87,88,2.4393009153630816,0.01474287715023171,5.950188955691167,1.2528991626003296
88,89,1.701860159446903,0.011023137188212068,2.8963280023126377,1.2583697109639622
89,90,0.5231615398720183,0.0027261153267634625,0.2736979968012614,1.37899517340849
90,91,0.7571082176459186,0.004379748086998091,0.5732128532269797,1.484072252399925
91,92,2.3255621063598904,0.01099481436845527,5.408239110537051,0.7187412466152932
92,93,0.4903719738207781,0.0030708729559606575,0.24046467270888583,1.1182063256114714
93,94,5.831738482633223,0.02868665352812182,34.00917372982524,1.0459145987437362
94,95,0.5099798228844152,0.0035366064428976204,0.2600794197492195,2.0413248941778876
95,96,6.59111704886705,0.044427194585399135,43.44282395186589,2.1739909318951574
96,97,2.016940653814631,0.012874106723940328,4.068049601010191,1.5328789910941698
97,98,1.8466848490052412,0.010692327724932576,3.4102449315455106,1.3402075546767211
98,99,1.3280245003398887,0.007187498885509264,1.763649073503011,1.53035506880064
99,100,7.707381714762293,0.030646951096414517,59.403732897052144,1.627957114361409
