Duration [s],Average Interlayertemperature [°C],Average Lack of fusion volume below 580 °C [%],Average Hot spot volume above 880 °C [%],Relative Density [%],Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Layer Thickness [Microm.],Laser Energy Density E [J/mm^3]
2740.65,89.10722139673062,0.0,98.47494762258567,99.2,600.0,1000.0,0.15,50.0,0.08
2693.76,86.52144873699844,0.0,76.17880386329857,99.6,600.0,1500.0,0.15,50.0,0.05333333333333334
2670.32,85.1898736998512,0.38869917384844,41.63118135215448,99.8,600.0,2000.0,0.15,50.0,0.04
2740.65,90.65424962852877,0.0,99.98164279346183,99.3,700.0,1000.0,0.15,50.0,0.09333333333333334
2693.76,87.57227340267518,0.0,96.48645839524492,99.4,700.0,1500.0,0.15,50.0,0.06222222222222222
2670.32,85.98543833580952,0.0,75.8485231797923,99.6,700.0,2000.0,0.15,50.0,0.04666666666666667
2740.65,92.2017756315006,0.0,100.0,99.5,800.0,1000.0,0.15,50.0,0.10666666666666667
2693.76,88.62332838038596,0.0,99.64007674591375,99.8,800.0,1500.0,0.15,50.0,0.07111111111111111
2670.32,86.78153046062401,0.0,94.62102154531972,99.7,800.0,2000.0,0.15,50.0,0.05333333333333334
2705.49,87.17750371470973,0.0,82.94203543833592,99.7,600.0,1000.0,0.2,50.0,0.06
2670.32,85.1898736998512,1.1510024762258546,53.35003179791969,99.7,600.0,1500.0,0.2,50.0,0.04
2652.74,84.17285289747473,10.835185631500746,26.1879808320951,99.7,600.0,2000.0,0.2,50.0,0.03
2705.49,88.35436849925729,0.0,96.5074602526003,99.5,700.0,1000.0,0.2,50.0,0.07
2670.32,85.98543833580952,0.018795567979197653,76.17692615156056,99.7,700.0,1500.0,0.2,50.0,0.04666666666666667
2652.74,84.77439078751881,1.9020578900445768,52.48302823179795,99.6,700.0,2000.0,0.2,50.0,0.035
2705.49,89.53080237741435,0.0,99.63432243685001,99.4,800.0,1000.0,0.2,50.0,0.08
2670.32,86.78153046062401,0.0,89.78223930163428,99.5,800.0,1500.0,0.2,50.0,0.05333333333333334
2652.74,85.3756983655273,0.22245062332837992,72.42281649331356,99.7,800.0,2000.0,0.2,50.0,0.04
